0.00000,0.00000,0.00000
0.00000,0.00125,0.00315
0.00000,0.00443,0.01139
0.00000,0.00978,0.02575
0.00000,0.01718,0.04661
0.00000,0.02626,0.07387
0.00000,0.03665,0.10727
0.00000,0.04804,0.14639
0.00000,0.06016,0.19060
0.00000,0.07279,0.23895
0.00000,0.08579,0.29019
0.00000,0.09916,0.34289
0.00000,0.11298,0.39567
0.00000,0.12728,0.44724
0.00000,0.14194,0.49648
0.00000,0.15670,0.54240
0.00000,0.17124,0.58413
0.00000,0.18519,0.62101
0.00000,0.19832,0.65288
0.00000,0.21055,0.67998
0.00000,0.22192,0.70276
0.00000,0.23252,0.72178
0.00000,0.24247,0.73752
0.00000,0.25183,0.75035
0.00000,0.26061,0.76055
0.00000,0.26880,0.76835
0.00000,0.27631,0.77391
0.00000,0.28312,0.77739
0.00000,0.28924,0.77903
0.00000,0.29475,0.77909
0.00000,0.29971,0.77787
0.00000,0.30421,0.77565
0.00000,0.30830,0.77269
0.00000,0.31204,0.76921
0.00000,0.31546,0.76538
0.00000,0.31857,0.76135
0.00000,0.32138,0.75724
0.00000,0.32392,0.75315
0.00000,0.32620,0.74916
0.00000,0.32828,0.74531
0.00000,0.33018,0.74163
0.00000,0.33193,0.73812
0.00000,0.33355,0.73479
0.00000,0.33505,0.73166
0.00000,0.33644,0.72875
0.00000,0.33774,0.72605
0.00000,0.33895,0.72358
0.00000,0.34007,0.72133
0.00000,0.34111,0.71929
0.00000,0.34208,0.71746
